model,metric,estimate,ci_low,ci_high,bootstrap_median,n_bootstrap,scope,table_type,delta_estimate,bootstrap_probability_interaction_better,direction
Interaction minus additive,ROC-AUC,0.002455991749441999,-0.0025018641044344063,0.009324033965918507,,2500,Transit,contrast,0.002455991749441999,0.8,interaction minus additive; positive favors interaction
Interaction minus additive,Recall,0.011063986723215957,0.0,0.04111953677255293,,2500,Transit,contrast,0.011063986723215957,0.6356,interaction minus additive; positive favors interaction
Interaction minus additive,Precision,-0.009585977142074875,-0.06648900673125177,0.03526933668511553,,2500,Transit,contrast,-0.009585977142074875,0.3736,interaction minus additive; positive favors interaction
Interaction minus additive,F1,-0.004723230922998978,-0.05021398452927114,0.032306305178732245,,2500,Transit,contrast,-0.004723230922998978,0.4252,interaction minus additive; positive favors interaction
Interaction minus additive,MCC,-0.0026453528634166057,-0.043476273347415204,0.0340504876761122,,2500,Transit,contrast,-0.0026453528634166057,0.4644,interaction minus additive; positive favors interaction
Interaction minus additive,Balanced accuracy,0.004010535370149837,-0.005985571041184729,0.01930023917138945,,2500,Transit,contrast,0.004010535370149837,0.6952,interaction minus additive; positive favors interaction
Interaction minus additive,Log loss,0.00017576475744629505,-0.003148055340924588,0.003930740556980617,,2500,Transit,contrast,0.00017576475744629505,0.524,additive minus interaction; positive favors interaction
Interaction minus additive,Brier score,-3.423062472025784e-05,-0.0015196537829123649,0.001650766441775237,,2500,Transit,contrast,-3.423062472025784e-05,0.4752,additive minus interaction; positive favors interaction
Additive logistic,PR-AUC,0.46338048304502805,0.2938220803161442,0.7040216959584954,0.5021827428636623,2500,Radial Velocity,performance,,,
Additive logistic,ROC-AUC,0.8129943502824858,0.6962124940702087,0.9191641761599745,0.8192376230688115,2500,Radial Velocity,performance,,,
Additive logistic,Recall,0.4888888888888889,0.22650293255131965,0.8333333333333334,0.5,2500,Radial Velocity,performance,,,
Additive logistic,Precision,0.41509433962264153,0.1805944055944056,0.6923076923076923,0.41666666666666663,2500,Radial Velocity,performance,,,
Additive logistic,F1,0.44897959183673475,0.2137857142857143,0.6526397515527951,0.4492088970419629,2500,Radial Velocity,performance,,,
Additive logistic,MCC,0.2958639689717546,0.027473515270043828,0.5744577788453415,0.3030965628868748,2500,Radial Velocity,performance,,,
Additive logistic,Balanced accuracy,0.6568738229755179,0.5142380615741272,0.830949142257132,0.6609563235189699,2500,Radial Velocity,performance,,,
Additive logistic,Log loss,0.4304298922850019,0.26913074080995064,0.6146850486617713,0.42576838655063665,2500,Radial Velocity,performance,,,
Additive logistic,Brier score,0.14547877509693957,0.08133896404205729,0.21864366706164903,0.14298394570571013,2500,Radial Velocity,performance,,,
Interaction logistic,PR-AUC,0.48700619347081286,0.3078187221860077,0.7353501326822978,0.5242533856425222,2500,Radial Velocity,performance,,,
Interaction logistic,ROC-AUC,0.8306967984934086,0.7207720004908771,0.9310637876662983,0.8370503522313066,2500,Radial Velocity,performance,,,
Interaction logistic,Recall,0.6666666666666666,0.36080851063829783,1.0,0.6785714285714286,2500,Radial Velocity,performance,,,
Interaction logistic,Precision,0.44776119402985076,0.20566222570532916,0.7032282282282284,0.4444444444444444,2500,Radial Velocity,performance,,,
Interaction logistic,F1,0.5357142857142857,0.28186168291802094,0.743362831858407,0.5323160826177766,2500,Radial Velocity,performance,,,
Interaction logistic,MCC,0.4007757099823494,0.12040989284430764,0.6701978324613437,0.40608174312615336,2500,Radial Velocity,performance,,,
Interaction logistic,Balanced accuracy,0.7288135593220338,0.5660569985569985,0.8949512104743084,0.7324324324324325,2500,Radial Velocity,performance,,,
Interaction logistic,Log loss,0.40855968836006784,0.2645128109622837,0.5775009428104396,0.4036641725886655,2500,Radial Velocity,performance,,,
Interaction logistic,Brier score,0.1382407776241708,0.07987783196771434,0.2059931674533456,0.1362670941002469,2500,Radial Velocity,performance,,,
Interaction minus additive,PR-AUC,0.02362571042578482,-0.026287696294756725,0.08673265610703536,,2500,Radial Velocity,contrast,0.02362571042578482,0.8412,interaction minus additive; positive favors interaction
Interaction minus additive,ROC-AUC,0.017702448210922817,-0.019109463674280923,0.05336206007307582,,2500,Radial Velocity,contrast,0.017702448210922817,0.8512,interaction minus additive; positive favors interaction
Interaction minus additive,Recall,0.17777777777777776,0.0,0.4516129032258065,,2500,Radial Velocity,contrast,0.17777777777777776,0.8696,interaction minus additive; positive favors interaction
Interaction minus additive,Precision,0.032666854407209234,-0.10963660406757421,0.17060668498168502,,2500,Radial Velocity,contrast,0.032666854407209234,0.6424,interaction minus additive; positive favors interaction
Interaction minus additive,F1,0.08673469387755095,-0.05900203973710065,0.26922196700422524,,2500,Radial Velocity,contrast,0.08673469387755095,0.7928,interaction minus additive; positive favors interaction
Interaction minus additive,MCC,0.1049117410105948,-0.0816558970696059,0.32937590745456385,,2500,Radial Velocity,contrast,0.1049117410105948,0.7788,interaction minus additive; positive favors interaction
Interaction minus additive,Balanced accuracy,0.07193973634651596,-0.03217612558219768,0.20700095986223158,,2500,Radial Velocity,contrast,0.07193973634651596,0.8288,interaction minus additive; positive favors interaction
Interaction minus additive,Log loss,0.02187020392493405,0.0009183344430473611,0.045626563596624724,,2500,Radial Velocity,contrast,0.02187020392493405,0.9776,additive minus interaction; positive favors interaction
Interaction minus additive,Brier score,0.007237997472768765,0.0003966298845792908,0.014476879456995925,,2500,Radial Velocity,contrast,0.007237997472768765,0.9812,additive minus interaction; positive favors interaction
