row_id,planet_name,planet_host,discovery_method_group,orbital_period_days,planet_mass_earth,cluster_numeric_id,cluster_label,hz_reported,hz_derived,flux_zone_reported,flux_zone_derived,giant_or_evolved_host_flag,compact_or_hot_subdwarf_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag
410,HATS-6 b,HATS-6,Transit,3.3252725,101.38777,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
411,HATS-60 b,HATS-60,Transit,3.560829,210.40346,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
412,HATS-61 b,HATS-61,Transit,7.817953,1080.622,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
413,HATS-62 b,HATS-62,Transit,3.2768837,56.89157,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
414,HATS-63 b,HATS-63,Transit,3.0566527,305.1168,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
415,HATS-64 b,HATS-64,Transit,4.908897,305.1168,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
416,HATS-65 b,HATS-65,Transit,3.105161,260.93843,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
417,HATS-66 b,HATS-66,Transit,3.1414391,1694.0339,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
418,HATS-67 b,HATS-67,Transit,1.6091788,460.8535,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
419,HATS-68 b,HATS-68,Transit,3.5862202,410.0007,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
420,HATS-69 b,HATS-69,Transit,2.2252577,183.38791,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
421,HATS-7 b,HATS-7,Transit,3.185315,38.1396,0,Low-mass short-period,,0.0,,too_hot,False,False,False,False,False
422,HATS-70 b,HATS-70,Transit,1.8882378,4100.007,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
