row_id,planet_name,planet_host,num_stars,num_planets,discovery_method,discovery_year,discovery_facility,orbital_period_days,semi_major_axis_au,planet_mass_earth,eccentricity,insolation_flux_earth,equilibrium_temperature_k,spectral_type,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,stellar_metallicity_dex,stellar_metallicity_ratio_raw,stellar_logg_cgs,distance_pc,gaia_magnitude,stellar_metallicity_ratio_clean,discovery_method_group,hz_reported,flux_zone_reported,log10_insolation_reported,log10_orbital_period_days,log10_semi_major_axis_au,log10_planet_mass_earth,stellar_teff_1000k,stellar_luminosity_solar,semi_major_axis_kepler_au,semi_major_axis_best_au,semi_major_axis_source,insolation_derived_earth,log10_insolation_derived,hz_derived,flux_zone_derived,earth_equivalent_period_days,period_to_earth_equivalent_ratio,log10_period_to_earth_equivalent_ratio,stellar_logg_calculated_cgs,reported_to_derived_flux_ratio,reported_derived_zone_agreement,orbital_period_days_missing,semi_major_axis_au_missing,planet_mass_earth_missing,eccentricity_missing,insolation_flux_earth_missing,equilibrium_temperature_k_missing,spectral_type_missing,stellar_teff_k_missing,stellar_radius_solar_missing,stellar_mass_solar_missing,stellar_metallicity_dex_missing,stellar_metallicity_ratio_raw_missing,stellar_logg_cgs_missing,distance_pc_missing,gaia_magnitude_missing,eligible_reported_core_model,eligible_derived_flux_analysis,compact_or_hot_subdwarf_host_flag,giant_or_evolved_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag,host_regime_annotation,cluster_numeric_id,cluster_label
2313,Kepler-1514 b,Kepler-1514,1,2,Transit,2016,Kepler,217.83184,0.753,1678.1424,0.401,3.23,388.0,,6145.0,1.29,1.2,0.119,[Fe/H],4.29,397.292,11.8292,[Fe/H],Transit,0.0,too_hot,0.5092025223311029,2.338121359926896,-0.1232050237992994,3.224828810432049,6.145,2.137773453637718,0.75291827558129,0.753,catalog_semi_major_axis,3.770263705933625,0.576371727401162,0.0,too_hot,589.4824249891028,0.3695306777026081,-0.4323495015075482,4.296001825449127,0.8567040005495212,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,False,False,False,False,False,Ordinary dwarf / unflagged,2.0,Long-period giants
2314,Kepler-1514 c,Kepler-1514,1,2,Transit,2020,Kepler,10.514181,0.0997,,0.32,193.0,1066.0,,6145.0,1.29,1.2,0.119,[Fe/H],4.29,397.292,11.8292,[Fe/H],Transit,0.0,too_hot,2.285557309007774,1.0217754490591056,-1.0013048416883443,,6.145,2.137773453637718,0.0998122620916881,0.0997,catalog_semi_major_axis,215.06580459912524,2.332571363179252,0.0,too_hot,589.4824249891028,0.0178362925751253,-1.7486954123753389,4.296001825449127,0.8973997533440748,True,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2315,Kepler-1515 b,Kepler-1515,1,1,Transit,2016,Kepler,214.3114164,,,,,,,6511.0,1.41,1.3,0.07,[Fe/H],4.26,539.321,11.9975,[Fe/H],Transit,,,,2.3310453065876158,,,6.511,3.219020311425796,0.7649232097774804,0.7649232097774804,kepler_from_period,5.501587688910969,0.740488039499588,0.0,too_hot,769.8592569903797,0.2783773974970572,-0.5553660296246908,4.253505126996077,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2316,Kepler-1516 b,Kepler-1516,1,1,Transit,2016,Kepler,7.25931979,,,,,,,5904.0,1.07,1.04,0.03,[Fe/H],4.4,1358.95,14.4469,[Fe/H],Transit,,,,0.8608959285114755,,,5.904,1.2532787064365214,0.0743386920599255,0.0743386920599255,kepler_from_period,226.7868294788096,2.355617829538492,0.0,too_hot,424.2377401201205,0.0171114427206418,-1.7667133721538688,4.396265783928361,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2317,Kepler-1517 b,Kepler-1517,1,1,Transit,2016,Kepler,5.54608367,,,,,,,7010.0,1.95,1.58,0.01,[Fe/H],4.06,847.299,12.1739,[Fe/H],Transit,,,,0.7439864171973424,,,7.01,8.272485315309485,0.0714194482464942,0.0714194482464942,kepler_from_period,1621.821388153961,3.210003023481552,0.0,too_hot,1417.387782069367,0.0039128908405734,-2.407502267611164,4.056587864229386,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2318,Kepler-1518 b,Kepler-1518,1,1,Transit,2016,Kepler,5.11177904,,,,,,,6846.0,1.88,1.54,0.06,[Fe/H],4.08,903.51,13.2803,[Fe/H],Transit,,,,0.708572072892383,,,6.846,6.994521155140958,0.0670648265646786,0.0670648265646786,kepler_from_period,1555.1360051195609,3.1917683764432594,0.0,too_hot,1265.8969550421732,0.0040380688330431,-2.3938262823324448,4.077205022309103,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2319,Kepler-1519 b,Kepler-1519,1,1,Transit,2016,Kepler,240.7989397,,,,,,,5644.0,0.91,0.94,-0.07,[Fe/H],4.5,1441.63,14.8034,[Fe/H],Transit,,,,2.381654570279089,,,5.644,0.7570516586234536,0.7420255308873553,0.7420255308873553,kepler_from_period,1.3749528914647802,0.1382878186554636,1.0,habitable_zone,305.752793941754,0.787560880787478,-0.1037158639915976,4.493045068957511,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2320,Kepler-152 b,Kepler-152,1,2,Transit,2014,Kepler,18.207973,0.124,,,,,,5088.0,0.72,,,,4.61,441.09,14.2437,,Transit,,,,1.260261600714554,-0.906578314837765,,5.088,0.3130027215476764,,0.124,catalog_semi_major_axis,20.35657658348572,1.3087047434136705,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2321,Kepler-152 c,Kepler-152,1,2,Transit,2014,Kepler,88.255055,0.356,,,,,,5088.0,0.72,,,,4.61,441.09,14.2437,,Transit,,,,1.9457395899321872,-0.4485500020271248,,5.088,0.3130027215476764,,0.356,catalog_semi_major_axis,2.46972226950256,0.3926481177923901,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2322,Kepler-1520 b,Kepler-1520,1,1,Transit,2016,Kepler,0.65355357,,,,,,,4677.0,0.71,0.76,0.04,[Fe/H],4.61,607.917,15.6932,[Fe/H],Transit,,,,-0.1847188086926505,,,4.677,0.2173105882340708,0.0134502959985585,0.0134502959985585,kepler_from_period,1201.2052000338167,3.0796172035977927,0.0,too_hot,133.3503297656067,0.0049010270251957,-2.3097129026983447,4.61629689484264,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,Ordinary dwarf / unflagged,,
