row_id,planet_name,planet_host,num_stars,num_planets,discovery_method,discovery_year,discovery_facility,orbital_period_days,semi_major_axis_au,planet_mass_earth,eccentricity,insolation_flux_earth,equilibrium_temperature_k,spectral_type,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,stellar_metallicity_dex,stellar_metallicity_ratio_raw,stellar_logg_cgs,distance_pc,gaia_magnitude,stellar_metallicity_ratio_clean,discovery_method_group,hz_reported,flux_zone_reported,log10_insolation_reported,log10_orbital_period_days,log10_semi_major_axis_au,log10_planet_mass_earth,stellar_teff_1000k,stellar_luminosity_solar,semi_major_axis_kepler_au,semi_major_axis_best_au,semi_major_axis_source,insolation_derived_earth,log10_insolation_derived,hz_derived,flux_zone_derived,earth_equivalent_period_days,period_to_earth_equivalent_ratio,log10_period_to_earth_equivalent_ratio,stellar_logg_calculated_cgs,reported_to_derived_flux_ratio,reported_derived_zone_agreement,orbital_period_days_missing,semi_major_axis_au_missing,planet_mass_earth_missing,eccentricity_missing,insolation_flux_earth_missing,equilibrium_temperature_k_missing,spectral_type_missing,stellar_teff_k_missing,stellar_radius_solar_missing,stellar_mass_solar_missing,stellar_metallicity_dex_missing,stellar_metallicity_ratio_raw_missing,stellar_logg_cgs_missing,distance_pc_missing,gaia_magnitude_missing,eligible_reported_core_model,eligible_derived_flux_analysis
4235,TOI-178 b,TOI-178,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1.914558,0.02607,1.5,,,1040.0,K,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,62.699,11.1523,[Fe/H],Transit,,,,0.28206852748621625,-1.583858968831671,0.17609125905568124,4.316,0.13208307394977817,0.02613906131367637,0.02607,catalog_semi_major_axis,194.3413008024899,2.2885651053067195,0,too_hot,99.25877750467781,0.019288551079623885,-1.7147003945312231,4.625086643357144,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4236,TOI-178 c,TOI-178,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.23845,0.037,4.77,,,873.0,K,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,62.699,11.1523,[Fe/H],Transit,,,,0.5103371961585622,-1.431798275933005,0.6785183790401139,4.316,0.13208307394977817,0.03710813260900763,0.037,catalog_semi_major_axis,96.48142728252607,1.9844437195093871,0,too_hot,99.25877750467781,0.03262633372496836,-1.4864317258588773,4.625086643357144,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4237,TOI-178 d,TOI-178,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.5577,0.0592,3.01,,,690.0,K,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,62.699,11.1523,[Fe/H],Transit,,,,0.8167515447937421,-1.2276782932770802,0.47856649559384334,4.316,0.13208307394977817,0.059394377143970965,0.0592,catalog_semi_major_axis,37.68805753223673,1.5762037541975376,0,too_hot,99.25877750467781,0.06606670125159413,-1.1800173772236973,4.625086643357144,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4238,TOI-178 e,TOI-178,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),9.961881,0.0783,3.86,,,600.0,K,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,62.699,11.1523,[Fe/H],Transit,,,,0.9983413495473359,-1.1062382379420566,0.5865873046717549,4.316,0.13208307394977817,0.0784883505120634,0.0783,catalog_semi_major_axis,21.543866216777367,1.3333236435274904,0,too_hot,99.25877750467781,0.10036272106545462,-0.9984275724701035,4.625086643357144,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4239,TOI-178 f,TOI-178,1,6,Transit,2021,Multiple Observatories,15.231915,0.1039,7.72,,,521.0,K,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,62.699,11.1523,[Fe/H],Transit,,,,1.182754507515323,-0.9833844524428226,0.8876173003357362,4.316,0.13208307394977817,0.10417111375533791,0.1039,catalog_semi_major_axis,12.235340854858604,1.0876160725290223,0,too_hot,99.25877750467781,0.15345660487589785,-0.8140144145021165,4.625086643357144,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4240,TOI-178 g,TOI-178,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),20.7095,0.1275,3.94,,,470.0,K,4316.0,0.65,0.65,-0.23,[Fe/H],4.45,62.699,11.1523,[Fe/H],Transit,,,,1.3161696136272876,-0.894489815230026,0.5954962218255742,4.316,0.13208307394977817,0.1278470500555476,0.1275,catalog_semi_major_axis,8.125064141470398,0.9098267981034291,0,too_hot,99.25877750467781,0.2086414977156455,-0.6805993083901519,4.625086643357144,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4241,TOI-1789 b,TOI-1789,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.208664,0.04882,222.47988,,2300.0,1927.0,F,5991.0,2.17,1.51,0.373,[Fe/H],3.94,229.067,9.58439,[Fe/H],Transit,0,too_hot,3.361727836017593,0.5063242416869901,-1.3114022249188302,2.3472907416087465,5.991,5.465267913091392,0.04884442414456472,0.04882,catalog_semi_major_axis,2293.0625746274054,3.360415906210353,0,too_hot,1062.454507186685,0.0030200483675261987,-2.5199861015522793,3.9440574795961103,1.0030253973220604,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4242,TOI-1807 b,TOI-1807,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.549372,0.00812,,,,2100.0,,4757.0,0.68,0.75,-0.029,[Fe/H],4.65,42.5775,9.67517,[Fe/H],Transit,,,,-0.26013347916259083,-2.0904439707588245,,4.757,0.21332666374727663,0.011927184901048774,0.00812,catalog_semi_major_axis,3235.438007281125,3.5099330829239026,0,too_hot,132.3864233080269,0.00414976087632311,-2.381976928127765,4.6480434379792275,,,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
4243,TOI-1899 b,TOI-1899,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),29.02,0.1587,209.7678,0.118,2.9,362.0,M0,3841.0,0.61,0.63,0.31,[Fe/H],4.67,128.438,13.5553,[Fe/H],Transit,0,too_hot,0.4623979978989561,1.462697408101717,-0.7994230732451518,2.321738823440106,3.841,0.07296785992224575,0.15843518628245798,0.1587,catalog_semi_major_axis,2.897195189897348,0.4619777554867158,0,too_hot,64.60537573661207,0.44918862662932046,-0.34757124852513566,4.666680879432048,1.0009681122322833,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4244,TOI-201 b,TOI-201,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),52.97818,0.3,133.4886,0.28,,759.0,F6 V,6394.0,1.32,1.32,0.24,[Fe/H],4.32,113.825,8.94004,[Fe/H],Transit,,,,1.7240970345664635,-0.5228787452803376,2.1254441782961377,6.394,2.623814335002187,0.30282787593364024,0.3,catalog_semi_major_axis,29.153492611135416,1.4646905910292252,0,too_hot,655.3949404248914,0.08083397770152809,-1.0924060497883585,4.317426068794149,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
