stellar_teff_k,rf_peak_period_days,rf_peak_probability,logistic_peak_period_days,logistic_peak_probability
5248.362943702092,225.26809002472953,0.1924405788294826,581.2935016298517,0.3705045593283951
5323.8444334482865,225.26809002472953,0.18282927943401642,633.6104889164096,0.35134801761920603
5400.411491276457,225.26809002472953,0.17910876193501188,633.6104889164096,0.33638796155277617
5478.079729730347,225.26809002472953,0.17707373004889648,633.6104889164096,0.32400430965729426
5556.864985891915,225.26809002472953,0.1762697552443179,633.6104889164096,0.31202125820529064
5636.78332461064,225.26809002472953,0.17347160416189517,633.6104889164096,0.29347285672093204
5717.851041779224,225.26809002472953,0.17421307642904918,633.6104889164096,0.2752219734718321
5800.084667656456,225.26809002472953,0.1739997139148695,633.6104889164096,0.26451639325061543
5883.500970237839,225.26809002472953,0.17182335898284057,633.6104889164096,0.25243870107584127
5968.116958674692,225.26809002472953,0.16786218706970715,633.6104889164096,0.23704202441608313
6053.949886742455,225.26809002472953,0.1667556996154886,633.6104889164096,0.2298122957706227
6141.017256358818,225.26809002472953,0.16554715530404301,633.6104889164096,0.22109309239437153
6229.3368211524985,225.26809002472953,0.16533131704698983,633.6104889164096,0.21831181541250383
6318.926590083332,225.26809002472953,0.16501925014866933,633.6104889164096,0.21554167096779145
6409.804831114408,225.26809002472953,0.1649259972119087,633.6104889164096,0.21477228768028553
6501.990074937045,225.26809002472953,0.16488401984136078,690.6360565519087,0.21442693439378227
6595.501118749309,225.26809002472953,0.16448810175486914,690.6360565519087,0.21108782565170464
6690.357030088917,225.26809002472953,0.16427202273184704,690.6360565519087,0.2089123447569619
6786.577150721204,225.26809002472953,0.1640506009689727,690.6360565519087,0.20679088360516318
6884.18110058306,225.26809002472953,0.1640302040587294,690.6360565519087,0.2064725756947601
6983.188781783566,225.26809002472953,0.1640218900287801,690.6360565519087,0.2062906379575851
7083.6203826621695,225.26809002472953,0.1637829362054601,690.6360565519087,0.204772660538028
7185.496381905213,225.26809002472953,0.16377771715155115,690.6360565519087,0.20464766144484423
7288.837552721711,225.26809002472953,0.16377846769513146,690.6360565519087,0.20459891299132324
7393.664967079103,225.26809002472953,0.16378375376700505,690.6360565519087,0.20461047458482456
7500.0,225.26809002472953,0.16379245030758535,690.6360565519087,0.2046694841038476
